,0
0,0.20531204100007017
1,0.2095565219999571
2,0.5167436960000487
3,0.3390602119999926
4,1.693629349000048
5,1.8526594510000223
6,0.38478587899999184
7,5.4326973180000095
8,1.2969316129999697
9,2.768103174000089
10,2.9533563600000434
11,1.7846625879999465
12,3.7082055810001293
13,12.702493032999996
14,5.311972111999921
15,15.734857481000063
16,14.147052237000025
17,10.13784350900005
18,17.699444456000037
19,15.214341399999967
20,19.586033217000022
21,43.398295566
22,24.02900362399987
23,19.965015112000003
24,52.97983413500015
25,37.327893174999986
26,30.38426155999997
27,59.14115338099998
28,75.36112640600004
29,54.61679921100006
30,107.83452778300003
31,78.736582483
32,61.43231313500007
33,174.599825102
34,107.72122025299996
35,83.18582556700005
36,186.054760858
37,104.05773855299981
38,153.47102844199998
