,0
0,0.27
1,0.32
2,0.86
3,0.35
4,3.57
5,1.79
6,0.67
7,13.38
8,1.41
9,3.59
10,3.26
11,2.22
12,5.58
13,23.97
14,9.67
15,50.21
16,42.58
17,24.05
18,53.94
19,31.68
20,49.95
21,152.03
22,45.58
23,63.9
24,208.42
25,144.99
26,84.18
27,154.89
28,291.64
29,205.53
30,622.93
31,364.75
32,397.49
33,809.98
34,608.02
35,401.03
36,1200.0
37,670.59
38,1080.82
