,0
0,38.92083252894494
1,24.298949201019717
2,27.56865271136298
3,37.967504005344146
4,33.03658882380402
5,28.390488225688248
6,34.498412068467736
7,29.314052762727464
8,61.46758040070695
9,18.780959117845896
10,23.71208104505764
11,61.46758040070695
12,18.780959117845896
13,25.23740973098501
14,54.98516992111058
15,17.88185265873256
16,26.004393611282666
17,38.20941898038355
18,22.211298379023834
19,25.759664305980035
20,22.918236134170282
21,18.01124835208805
22,25.759664305980035
23,36.94466518514214
24,18.01124835208805
25,32.2318826131951
26,35.07798511515496
27,18.01124835208805
28,24.994512597788013
29,19.503502519356026
30,25.98180483448385
31,24.13308788395045
32,21.376048676904304
33,24.583837793076306
34,22.87012931845351
35,20.944664337424165
36,24.583837793076306
37,22.00528893977828
38,18.292822968342488
