,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
bc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4367919649337436e-14,0.0,1.4886589580683957e-14,1.4220520225042465e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.116070471347284,0.0,0.0,0.6917763356696424,0.0
statique,38.92083252894494,24.298949201019717,27.56865271136298,37.967504005344146,33.03658882380402,28.390488225688248,34.498412068467736,29.314052762727464,61.46758040070695,18.780959117845896,23.71208104505764,61.46758040070695,18.780959117845896,25.23740973098501,54.98516992111058,17.88185265873256,26.004393611282666,38.20941898038355,22.211298379023834,25.759664305980035,22.918236134170282,18.01124835208805,25.759664305980035,36.94466518514214,18.01124835208805,32.2318826131951,35.07798511515496,18.01124835208805,24.994512597788013,19.503502519356026,25.98180483448385,24.13308788395045,21.376048676904304,24.583837793076306,22.87012931845351,20.944664337424165,24.583837793076306,22.00528893977828,18.292822968342488
dual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864072830175374,3.4402499387495347,3.993979333902526,10.444538995664631,8.624342133137334,5.096217834412523,9.22765703615333,7.956228752318116,7.592934260004839,12.713487176069842,7.084467445597772,0.5368946193707286,6.479366465170226,8.346608697989064,3.156258848518233,24.69479878765981,10.04685071522738,8.968765131447775,27.621253992586848,10.04685071522738,5.061347429650561,8.597874432262396,3.8273126984300174,10.243557792260647,3.90442829112991,5.41395761536072,18.857156727862538,4.387481750713692,5.41395761536072,9.11357173308331,11.597902492713796
pck,0.0,0.0,0.0,2.124589299236521,3.1179423293890665,5.218983156473409,1.8335742424997563,0.0,1.301932537424662,1.720124969374759,0.0,4.092165620169296,3.4402499387495347,5.013279937125185,4.672535825603937,7.956228752318116,7.592934260004839,7.029936223339833,7.003028703001731,2.2022618131014498,4.672428199506887,8.346608697989064,3.156258848518233,12.29266342146257,10.04685071522738,8.968765131447775,18.036444001022414,10.04685071522738,5.061347429650561,8.597874432262396,2.0037437714210915,10.243557792260647,3.90442829112991,4.685622510155236,14.57081537002889,3.89229660163165,5.41395761536072,6.794931895508322,9.614318246601668
re,1.1863572707661712e-14,0.0,1.9239464544769368e-14,0.0,1.2079109019712878e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1830540686473603e-14,0.0,1.1423778513976039e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h,1.1863572707661712e-14,0.0,1.9239464544769368e-14,0.0,1.2079109019712878e-14,0.0,0.0,17.61277699511964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.143917187033545,0.0,6.326134761805918,0.0,0.0,2.329797248116823,0.0,0.0,5.116070471347284,0.0,0.0,6.134255440437353,8.511911454563709
