,0
0,0.21
1,0.21
2,0.52
3,0.34
4,1.69
5,1.85
6,0.38
7,5.43
8,1.3
9,2.77
10,2.95
11,1.78
12,3.71
13,12.7
14,5.31
15,15.73
16,14.15
17,10.14
18,17.7
19,15.21
20,19.59
21,43.4
22,24.03
23,19.97
24,52.98
25,37.33
26,30.38
27,59.14
28,75.36
29,54.62
30,107.83
31,78.74
32,61.43
33,174.6
34,107.72
35,83.19
36,186.05
37,104.06
38,153.47
